period,variant,annualized_return,annualized_volatility,sharpe_excess_cash,maximum_drawdown,calmar,annualized_turnover,cost_drag_sum,active_duration_days,top_5_positive_days_share
exploratory_oos,equal_duration,0.0166169720207,0.079607664838,0.123909110803,-0.201085085458,0.0826365216636,0,0,973,0.0660701796045
exploratory_oos,hmm_k3_duration_blend,0.0150408839339,0.0983131966443,0.10144979479,-0.192012789094,0.078332719424,1.73672747502,0.00134113955015,973,0.057628282949
exploratory_oos,hmm_k4_duration_blend,0.0167933817971,0.100113405324,0.118642773109,-0.209988723154,0.0799727792277,2.38188562379,0.00183934500948,949,0.0560504781195
exploratory_oos,inverse_vol_63,0.013199627967,0.0297668054881,0.126761303873,-0.0874394327031,0.150957383402,0.492813091259,0.000380561220473,973,0.0672307873146
exploratory_oos,tlt_buy_hold,0.0156862182813,0.166251941679,0.117809455604,-0.347573849532,0.0451306054883,0,0,973,0.0714945095666
exploratory_oos,trend_duration_200,0.0550487666902,0.13388570846,0.394060609633,-0.194405283943,0.283164971516,5.69784172662,0.0044,973,0.107755995889
exploratory_oos,vol_target_tlt_20,0.0378985145813,0.0886881289199,0.353592752234,-0.205888287689,0.184073193316,5.0671573726,0.00391297152662,973,0.0469641200824
final_oos,equal_duration,0.00356112220832,0.0792043395158,-0.500852721941,-0.113483875827,0.0313799840055,0,0,975,0.0492960843506
final_oos,hmm_k3_duration_blend,0.0124376885139,0.0750215003355,-0.415679705131,-0.101581732239,0.122440208882,0.00378299108969,2.92731453369e-06,975,0.0520234048497
final_oos,hmm_k4_duration_blend,0.0108763817892,0.0741986962932,-0.441924618856,-0.101581732593,0.107070252806,2.50009859553,0.00193460010369,958,0.0534074100054
final_oos,inverse_vol_63,0.0214888651982,0.0394203306447,-0.617021343742,-0.0458606083956,0.468569126097,0.546884181798,0.000423184188296,975,0.0518177583402
final_oos,tlt_buy_hold,-0.0395174241137,0.152047506258,-0.494049642125,-0.24032788935,-0.164431286858,0,0,975,0.0475023383646
final_oos,trend_duration_200,-0.086542778962,0.0850763969178,-1.56596093374,-0.300888069679,-0.287624494564,23.2615384615,0.018,975,0.0810042872013
final_oos,vol_target_tlt_20,-0.0112486778675,0.0859089602605,-0.628335425314,-0.106624166252,-0.105498389933,5.10139382757,0.00394750712848,975,0.0407853339864
