candidate,baseline,role,period,annualized_return,sharpe,sortino,calmar,maximum_drawdown,active_days,average_exposure,turnover,completed_round_trips,trade_episode_count,trade_win_rate,trade_payoff_p05,trade_payoff_median,trade_payoff_p95,top_3_positive_trades_share
non_hmm,buy_and_hold,no_hmm,final,0.2125867347124048,1.3540782713262849,2.267137476795365,1.1334799791711352,-0.1875522626062264,814,1.0,0.0,0,1,1.0,0.8638273202042532,0.8638273202042532,0.8638273202042532,1.0
non_hmm,buy_and_hold,sma200_filter,final,0.1722072157903751,1.4000294898769896,2.2716686546010028,1.68865630088527,-0.10197884300085,755,0.9275184275184276,8.0,3,5,0.8,-0.0046907048760594,0.0942349394375117,0.3027745330831788,0.9679148715183004
non_hmm,trend_100,no_hmm,final,0.1790749685855812,1.5407187086021472,2.496314921229928,2.1188778360471585,-0.0845140600081276,701,0.8611793611793612,12.0,5,7,0.7142857142857143,-0.0192688515838463,0.0879550054793416,0.1824889752455997,0.7697974417631608
non_hmm,momentum_63,no_hmm,final,0.1574313612100246,1.3983904450016518,2.246160243658068,1.8729322867410207,-0.0840560880521535,682,0.8378378378378378,18.0,8,10,0.4,-0.017834067841035,-0.0036167189163724,0.2490016814096179,0.9232598577315396
k3_baseline,buy_and_hold,size_modifier,final,0.1008572406219137,1.2725139847148337,1.985802445666876,1.4398195730356025,-0.0700485272673951,814,0.5369534098243738,12.000032814013563,0,1,1.0,0.3639478463701773,0.3639478463701773,0.3639478463701773,1.0
k8_baseline_er_downside,buy_and_hold,defensive_switch,final,0.1453627210967796,1.3706873766969236,2.2164909190444577,1.7394597781971814,-0.0835677392020165,646,0.7936117936117936,30.0,14,16,0.375,-0.0305795648916176,-0.0051801319905255,0.1756780687186735,0.7061286980145187
k8_baseline_er_downside,trend_100,size_modifier,final,0.0715035870786615,1.1909180330128772,1.7012479885804774,1.7426248076760134,-0.0410321181953214,701,0.4159346626309535,23.617826180008407,5,7,0.5714285714285714,-0.0048294240910918,0.0241404271029725,0.120808646777139,0.9015203938751304
k8_baseline_er_downside,trend_100,defensive_switch,final,0.1216764713275593,1.199177879741055,1.9001147982402933,1.456022054556471,-0.0835677392020164,630,0.773955773955774,30.0,14,16,0.375,-0.0305795648916176,-0.0051801319905255,0.146089133123868,0.6788492017848109
k8_baseline_er_downside,momentum_63,defensive_switch,final,0.0858508446493597,0.8974925893452439,1.386489433244667,0.9833403920168494,-0.0873053170055163,609,0.7481572481572482,40.0,19,21,0.2857142857142857,-0.0270765113490277,-0.0061488717865557,0.1223620076269165,0.6790460284115768
