stage,bucket,markets,n,ret,mfe,duration,mfe4,mfe8,positive
Markdown,Young_1_4,6,17,1.0831010185089776,5.322767993700955,31.166666666666668,0.375,0.15277777777777776,0.375
Markdown,Intermediate_5_13,9,49,-0.32758197481013634,3.537921696309711,25.3525974025974,0.2672438672438673,0.14184704184704183,0.3045093795093795
Markdown,Mature_14p,9,101,-0.04689626899473084,4.11379939047294,29.547601164267828,0.2541855264077486,0.14983000538556093,0.2894548866771089
Markup,Young_1_4,8,22,-0.3243801159527398,3.865231718141874,29.677083333333336,0.34375,0.19791666666666666,0.19791666666666666
Markup,Intermediate_5_13,8,50,-0.34814455061721733,2.729978218289985,23.076190476190476,0.25029761904761905,0.0871031746031746,0.24454365079365079
Markup,Mature_14p,8,166,0.2554462186793711,3.866054580114882,32.84118672139908,0.3769418951791243,0.1441707439554769,0.3786171540984815
