era,rule,markets,pooled_n,trigger_rate_eq_market,no_trigger_rate_eq_market,delay_median_eq_market,delay_mean_eq_market,trigger_le_3_rate_all_eq_market,trigger_le_5_rate_all_eq_market,trigger_le_10_rate_all_eq_market,close_progress_atr_mean_eq_market,intrabar_progress_atr_mean_eq_market,tax_fraction_median_eq_market,tax_fraction_mean_eq_market,remaining_life_mean_eq_market,remaining10_rate_eq_market,remaining20_rate_eq_market,reexpand5_rate_eq_market,reexpand10_rate_eq_market,oldbox_fail3_rate_eq_market
2010-2014,R1_CloseExtreme,9,44,0.817063492063492,0.18293650793650795,1.6666666666666667,3.0148148148148146,0.651984126984127,0.7260582010582011,0.7948412698412698,0.885316338038776,1.1551885173124656,0.3243889178283059,0.3623127055907425,37.62777777777777,0.8759259259259259,0.7148148148148148,0.7703703703703704,0.8444444444444444,0.07777777777777778
2015-2019,R1_CloseExtreme,9,59,0.8805555555555556,0.11944444444444444,1.7222222222222223,3.1733245149911817,0.675793650793651,0.7381393298059965,0.8342592592592593,0.7279887981527534,0.9935612647659339,0.25972049031566774,0.3297360864843714,35.92676366843034,0.937389770723104,0.7573192239858907,0.7653439153439153,0.876851851851852,0.13822751322751323
2020-2026,R1_CloseExtreme,9,69,0.7983164983164983,0.2016835016835017,4.166666666666667,5.394708994708995,0.4431818181818182,0.6117003367003367,0.7002525252525253,0.6758580418200703,0.8843475401820268,0.2943603184843735,0.380165087920603,32.2689594356261,0.8858024691358026,0.6517636684303352,0.7685626102292769,0.9018959435626103,0.16596119929453262
2010-2014,R2_PriceExtreme,9,44,0.8124338624338624,0.1875661375661376,2.0555555555555554,4.157407407407407,0.6314814814814815,0.6870370370370371,0.7743386243386243,1.0057026258392276,1.3950829272945728,0.2533887314216693,0.3188771600805931,37.611111111111114,0.8981481481481483,0.7222222222222222,0.7925925925925925,0.8296296296296296,0.06481481481481481
2015-2019,R2_PriceExtreme,9,59,0.8867283950617284,0.1132716049382716,2.1666666666666665,3.57962962962963,0.63831569664903,0.7268959435626103,0.8245590828924163,0.7393914004580886,1.0802883970100674,0.23770890280893114,0.3133057565099398,35.02724867724868,0.9312169312169313,0.7357142857142858,0.808068783068783,0.9175925925925925,0.11772486772486773
2020-2026,R2_PriceExtreme,9,69,0.7705387205387205,0.22946127946127948,4.277777777777778,5.996913580246914,0.4847643097643098,0.5458754208754208,0.6909932659932659,0.6294544113672474,0.9757414261580971,0.1897537130824141,0.3000912473952939,33.17601410934745,0.9302469135802469,0.6721340388007054,0.8499118165784832,0.8704144620811287,0.2239858906525573
2010-2014,R3_RetestStructure,9,44,0.7445767195767196,0.25542328042328044,2.111111111111111,4.477777777777778,0.5312169312169313,0.6211640211640211,0.7223544973544974,0.9985098101456017,1.3038340541695526,0.271669880720173,0.35136241603586843,39.818518518518516,0.9722222222222222,0.7611111111111111,0.7851851851851852,0.8592592592592593,0.08148148148148149
2015-2019,R3_RetestStructure,9,59,0.8106701940035275,0.18932980599647267,3.4444444444444446,5.071296296296296,0.44285714285714284,0.560273368606702,0.7222663139329807,0.9997946009293295,1.2313920917060364,0.36135740608577865,0.38976967211645086,38.03981481481482,1.0,0.7601851851851852,0.8564814814814815,0.9120370370370371,0.06944444444444445
2020-2026,R3_RetestStructure,9,69,0.7686868686868686,0.23131313131313133,5.333333333333333,8.314373897707233,0.34132996632996637,0.4950336700336701,0.6105218855218856,0.9976835379479072,1.2015898786720411,0.5148031033797554,0.4986830606821978,30.626455026455023,0.8746913580246913,0.6659611992945327,0.8880070546737213,0.9296737213403881,0.18447971781305114
2010-2014,R4_Progress05,9,44,0.7187830687830687,0.2812169312169312,2.0,4.314814814814814,0.5398148148148149,0.5722222222222223,0.6595238095238094,0.9719183869254883,1.2458137937806335,0.27979314472994044,0.3244154706361069,39.98148148148148,0.9814814814814815,0.7870370370370371,0.7925925925925925,0.8666666666666667,0.05555555555555555
2015-2019,R4_Progress05,9,59,0.8245590828924163,0.1754409171075838,3.388888888888889,5.63015873015873,0.44748677248677243,0.5752645502645503,0.7361552028218695,1.020654004879669,1.2375840885841254,0.38132706767141555,0.44583841204844205,36.55502645502646,0.9619047619047618,0.785978835978836,0.9007936507936508,0.9305555555555556,0.04365079365079365
2020-2026,R4_Progress05,9,69,0.7446969696969696,0.2553030303030303,5.333333333333333,6.637433862433863,0.2978956228956229,0.49503367003367,0.643939393939394,0.8180450439646437,1.042300143480869,0.39014116709913127,0.44406704256876783,32.49074074074074,0.900925925925926,0.6617724867724868,0.887830687830688,0.9248677248677247,0.07605820105820106
