policy,markets,episodes,eq_market_mean_episode_return,positive_mean_markets,eq_market_median_profit_factor,eq_market_mean_max_drawdown,return_per_mdd,eq_market_turnover_per_episode,eq_market_avg_exposure,eq_market_bonus_earned_e5,eq_market_bonus_earned_e10,eq_market_bonus_active_frac,eq_market_avg_bonus,bootstrap95_lo,bootstrap95_hi,loo_min_eq_mean,loo_positive_count,eq_market_net_mean_friction_0.00,positive_markets_friction_0.00,eq_market_net_mean_friction_0.01,positive_markets_friction_0.01,eq_market_net_mean_friction_0.02,positive_markets_friction_0.02,eq_market_net_mean_friction_0.05,positive_markets_friction_0.05,eq_market_net_mean_friction_0.10,positive_markets_friction_0.10
b0_persistence_gentle,9,1624,0.3322061747673153,8,1.2597058309873572,37.34590707707558,0.008895383745311057,1.9835161141221225,0.45230454495763894,0.0,0.0,0.0,0.0,0.12939467318307699,0.5338372537016449,0.2521136659369014,9,0.3322061747673153,8,0.312371013626094,8,0.2925358524848728,8,0.2330303690612091,8,0.13385456335510298,6
b1_e5_bonus,9,1624,0.36199230196885934,8,1.2569567863126518,40.64194174804711,0.00890686533170511,2.261018128117684,0.4661597742408484,0.20980513345270665,0.0,0.05542091713283823,0.013855229283209557,0.14439791032604987,0.578797694064992,0.2639575196142694,9,0.36199230196885934,8,0.3393821206876825,8,0.31677193940650566,8,0.24894139556297512,7,0.13589048915709093,5
b2_e5_e10_bonus,9,1624,0.36936380658879053,8,1.2747034479080106,42.051986732969496,0.0087835043070439,2.3420063589157056,0.4693025685254346,0.20980513345270665,0.05987162698170269,0.05542091713283823,0.016998023567795697,0.1495375663264691,0.5900182398747885,0.27072916667089103,9,0.36936380658879053,8,0.34594374299963354,8,0.32252367941047644,8,0.2522634886430053,7,0.13516317069722003,5
