slice,policy,markets,pooled_n,harvest_eq_market_mean,avg_exposure_eq_market_mean,under_full_frac_eq_market_mean,increase_count_eq_market_mean,turnover_eq_market_mean
failed,full,9,1058,-2.2489017467303682,1.0,0.0,0.0,2.0
failed,proof_0_5,9,1058,-1.7687584731065158,0.5940390089654383,0.5412813213794156,0.567383788562134,1.3510756828432011
failed,proof_1_0,9,1058,-1.6451181636340928,0.5008118112817777,0.6655842516242965,0.44343789543946266,1.165156843159194
failed,proof_2_0,9,1058,-1.3246229415465753,0.37292245916484207,0.8361033877802106,0.2506102001215264,0.8759153001822896
failed,ladder,9,1058,-1.5794998594290612,0.4892577598040193,0.8361033877802106,1.005895595475764,1.1307159420615616
large,full,9,308,10.724817899192297,1.0,0.0,0.0,2.0
large,proof_0_5,9,308,9.527420333608067,0.9626901266100261,0.049746497853298564,1.0,2.0
large,proof_1_0,9,308,9.182838973366467,0.9495912908391357,0.06721161221448568,1.0,2.0
large,proof_2_0,9,308,8.457152706295892,0.9114576575809219,0.11805645655877073,1.0,2.0
large,ladder,9,308,9.055804004423475,0.9412463583433612,0.11805645655877073,2.1626673651761728,2.0
middle,full,9,258,0.8588197972145358,1.0,0.0,0.0,2.0
middle,proof_0_5,9,258,0.028298244817754985,0.9313711793868202,0.09150509415090625,1.0,2.0
middle,proof_1_0,9,258,-0.3304400829471066,0.8988910737072894,0.13481190172361415,1.0,2.0
middle,proof_2_0,9,258,-1.076201162634597,0.8293325162533152,0.22755664499557973,1.0,2.0
middle,ladder,9,258,-0.4594476669213162,0.8865315897824749,0.22755664499557973,2.3370055367337974,2.0
