era,policy,markets,episodes,eq_market_mean_episode_return,positive_mean_markets,eq_market_median_profit_factor,eq_market_mean_max_drawdown
2010-2014,b0_persistence_gentle,9,248,0.727285362623983,8,2.1817360693159653,15.968078586017539
2010-2014,b1_e5_bonus,9,248,0.7228601072230505,8,2.1606115495399005,16.982087071418405
2010-2014,b2_e5_e10_bonus,9,248,0.6977644031588706,8,2.1063333087419784,17.20774183664642
2015-2019,b0_persistence_gentle,9,290,-0.09750005252363549,2,0.8061128174512635,17.83175632153168
2015-2019,b1_e5_bonus,9,290,-0.09334208378226219,2,0.8087656039584871,19.01481416194659
2015-2019,b2_e5_e10_bonus,9,290,-0.08275492929222601,2,0.8087656039584871,19.345511489337504
2020-2026,b0_persistence_gentle,9,348,0.09810470279994735,5,1.0558255596571726,19.310301420608983
2020-2026,b1_e5_bonus,9,348,0.08758879108703271,5,1.0768806672877547,20.337506400812202
2020-2026,b2_e5_e10_bonus,9,348,0.09367557636211285,5,1.0719960945174645,20.69496311213029
