checkpoint,stage,eligible_markets,eligible_cells,future_extension_delta_eq_market,future_extension_delta_median_market,future_extension_positive_markets,future_net_positive_delta_eq_market,future_net_positive_delta_median_market,future_net_positive_positive_markets,remaining20_delta_eq_market,remaining20_delta_median_market,remaining20_positive_markets,remaining_life_delta_eq_market,remaining_life_delta_median_market,remaining_life_positive_markets
5,Markdown,9,24,0.06143423659641741,0.051957671957671966,6,0.0877381988458593,0.09178743961352655,6,0.11202445344957424,0.11417989417989419,8,10.95298610343469,8.277777777777779,9
5,Markup,9,26,0.11520679937346606,0.11978021978021978,7,0.005154798904798901,0.061378205128205125,7,0.20420024420024419,0.12626262626262624,8,10.167156762990096,11.230158730158731,7
10,Markdown,6,9,0.09443530325883266,0.0638919903625786,4,0.08694497223908991,0.03896103896103896,3,0.15140518522871463,0.12611865258924082,4,14.4444830224242,11.13961789844143,5
10,Markup,7,10,0.19746642246642246,0.1818181818181818,6,0.10258174365317221,0.1111111111111111,5,0.3160520035520036,0.20801282051282052,7,10.158561279989849,9.242424242424242,6
