add_policy,management,markets,pooled_n,harvest_eq_market_mean,avg_exposure_eq_market_mean,below_earned_frac_eq_market_mean,turnover_eq_market_mean,de_risk_count_eq_market_mean,re_risk_count_eq_market_mean,max_reduction_eq_market_mean
simple_1atr,none,9,1624,0.44102738291993654,0.6405300416560836,0.0,1.4400347392825201,0.0,0.0,0.0
simple_1atr,gentle_latch,9,1624,0.2665165914580188,0.4601900341209362,0.3465040174417728,2.269278060503029,3.6376890703928586,1.231438654908589,0.3938541358128599
simple_1atr,balanced_latch,9,1624,0.16482197023762113,0.35582867666342066,0.4174454298300623,2.984823881157814,5.177421424125987,1.8702440519790104,0.5691400029377293
simple_1atr,warning_first,9,1624,0.33852392844461104,0.5468160384813795,0.25955268096253076,1.784414433913824,1.9541432430693548,0.6191699298081932,0.24109874260840167
progressive,none,9,1624,0.4435619739017174,0.6294953216846316,0.0,1.41661587314487,0.0,0.0,0.0
progressive,gentle_latch,9,1624,0.2745874097506975,0.4678905352929959,0.3232073627993002,2.180429835505659,3.6376890703928586,1.231438654908589,0.36886008095957173
progressive,balanced_latch,9,1624,0.1750111998574648,0.36190044971833696,0.4239603422986358,2.8567943647965643,5.177421424125987,1.8702440519790104,0.5517406349834799
progressive,warning_first,9,1624,0.33346106848555895,0.5288761455429506,0.287173372830438,1.774767625552857,1.9541432430693548,0.6191699298081932,0.25575515407633276
