checkpoint,progress_quintile,markets,pooled_n,structure_rate_eq_market
5,1,9,244,0.6358360235598087
5,2,9,246,0.6164603844776143
5,3,9,246,0.7029514377340464
5,4,9,246,0.8658395603812215
5,5,9,251,0.9556658530858737
10,1,9,202,0.7804502828799503
10,2,9,205,0.781365682810916
10,3,9,204,0.8908115816253659
10,4,9,205,0.9402369951812142
10,5,9,208,0.9964157706093191
