a,b,markets,paired_n,delay_delta_eq_market,tax_delta_eq_market,remaining_life_delta_eq_market,reexpand5_delta_eq_market,reexpand10_delta_eq_market,oldbox_fail3_delta_eq_market
R3_RetestStructure,R1_CloseExtreme,9,179,1.3435238378030139,0.07404495946071629,-1.3435238378030139,0.033625730994152045,0.005847953216374269,-0.014309764309764309
R2_PriceExtreme,R1_CloseExtreme,9,188,0.24238377075270037,-0.02704717196546407,-0.24238377075270037,0.025113976200932718,0.01667046403888509,0.020220599808700494
R4_Progress05,R3_RetestStructure,9,173,-0.20638212273560239,0.014445143587747115,0.20638212273560239,-0.02485949722791828,-0.019388116756537805,-0.005847953216374269
