rule,markets,pooled_n,trigger_rate_eq_market,no_trigger_rate_eq_market,delay_median_eq_market,delay_mean_eq_market,trigger_le_3_rate_all_eq_market,trigger_le_5_rate_all_eq_market,trigger_le_10_rate_all_eq_market,close_progress_atr_mean_eq_market,intrabar_progress_atr_mean_eq_market,tax_fraction_median_eq_market,tax_fraction_mean_eq_market,remaining_life_mean_eq_market,remaining10_rate_eq_market,remaining20_rate_eq_market,reexpand5_rate_eq_market,reexpand10_rate_eq_market,oldbox_fail3_rate_eq_market
R1_CloseExtreme,9,236,0.8237685635658692,0.17623143643413078,1.7777777777777777,3.5366679519311095,0.5951869974827583,0.6936239844579357,0.7687559222181025,0.8507702719457688,1.0496683074422677,0.22514895799378332,0.36386637127708593,36.214690032401705,0.9074843773623331,0.7078021988370322,0.795976080873106,0.8623571035851738,0.12447286462160603
R2_PriceExtreme,9,236,0.8071184905537891,0.19288150944621096,1.5,3.8095140965672365,0.5807773695426643,0.6637814670829749,0.7494964215965947,0.865178397532494,1.1520793504006042,0.20708709251936078,0.3141437499062352,36.62469685351328,0.9225956598420366,0.7268478899879866,0.8291426028840216,0.8773258904837853,0.13211918685602894
R3_RetestStructure,9,236,0.7691795701837724,0.23082042981622763,2.2777777777777777,4.982477814583078,0.4674075603395218,0.584903285522801,0.68310342018629,1.0348999587497696,1.2182244513130212,0.2969583680739409,0.3998179505893521,37.001171294592346,0.9399199825515614,0.7279993593151488,0.8515661599185627,0.8896188282153195,0.10252242545148722
R4_Progress05,9,236,0.7547461077216361,0.2452538922783639,2.7777777777777777,4.808687512730228,0.44295277893257134,0.5816851360804519,0.6808347086820081,1.0097643898678914,1.1906736037402919,0.3181955348807,0.40613066167555273,37.74901556194462,0.9381604037401138,0.7397587474818597,0.8480365475979511,0.8852516019698683,0.0698163251557607
