era,markets,pooled_n,reexpand5_auc_eq_market,reexpand5_auc_gt_0_5_markets,reexpand10_auc_eq_market,reexpand10_auc_gt_0_5_markets,future_net_positive_auc_eq_market,future_net_positive_auc_gt_0_5_markets,remaining20_after3_auc_eq_market,remaining20_after3_auc_gt_0_5_markets,reexpand5_endpoint_delta_eq_market,reexpand5_positive_markets,reexpand10_endpoint_delta_eq_market,reexpand10_positive_markets,future_net_positive_endpoint_delta_eq_market,future_net_positive_positive_markets,remaining20_after3_endpoint_delta_eq_market,remaining20_after3_positive_markets,remaining_life_after3_endpoint_delta_eq_market,remaining_life_after3_positive_markets
2010-2014,9,146,0.673501036001036,7,0.6650452942119609,7,0.46463109935332153,3,0.5849514682848017,7,0.4166666666666667,7,0.3611111111111111,7,-0.19444444444444445,2,0.2222222222222222,6,0.23148148148147937,4
2015-2019,9,159,0.6880652312365275,8,0.7384423601090268,9,0.5561471707305041,6,0.7208944758944759,9,0.5629629629629629,8,0.6407407407407407,9,0.20185185185185184,5,0.5555555555555556,8,23.688888888888886,9
2020-2026,9,202,0.7329377605419272,9,0.744178398104881,9,0.5144859192489911,5,0.609405474317755,7,0.501851851851852,9,0.5129629629629631,9,0.03148148148148148,4,0.2759259259259259,7,12.809259259259258,7
pre-2010,9,490,0.738534104517929,8,0.7126775957478324,8,0.5255500094811623,4,0.6557074992887594,8,0.5010350454284278,8,0.380986851555737,8,0.09747918651266174,5,0.5635094878032184,8,17.567753624729242,8
