ticker,eligible,gb_0_5_n,gb_0_5_recovery,gb_0_5_time_from_proof,gb_1_0_n,gb_1_0_recovery,gb_1_0_time_from_proof,gb_2_0_n,gb_2_0_recovery,gb_2_0_time_from_proof,gb_4_0_n,gb_4_0_recovery,gb_4_0_time_from_proof,stall_5_n,stall_5_recovery,stall_5_time_from_proof,stall_10_n,stall_10_recovery,stall_10_time_from_proof,stall_20_n,stall_20_recovery,stall_20_time_from_proof
OANDA:EURUSD,76,75,0.64,3.76,75,0.49333333333333335,6.8933333333333335,71,0.2676056338028169,15.76056338028169,33,0.09090909090909091,35.303030303030305,73,0.5068493150684932,9.452054794520548,67,0.3582089552238806,18.940298507462686,40,0.2,32.125
OANDA:GBPUSD,88,87,0.5517241379310345,3.9195402298850577,85,0.4588235294117647,7.141176470588236,73,0.3013698630136986,15.123287671232877,34,0.14705882352941177,22.970588235294116,85,0.49411764705882355,8.882352941176471,77,0.3246753246753247,17.2987012987013,40,0.175,28.85
OANDA:USDJPY,78,77,0.5974025974025974,3.688311688311688,77,0.4935064935064935,7.571428571428571,73,0.273972602739726,17.205479452054796,36,0.19444444444444445,31.38888888888889,74,0.4594594594594595,10.135135135135135,64,0.359375,20.0,33,0.3333333333333333,39.09090909090909
TVC:AU10Y,160,159,0.7232704402515723,3.10062893081761,157,0.6496815286624203,5.471337579617835,155,0.49032258064516127,10.238709677419354,129,0.2713178294573643,24.356589147286822,154,0.5584415584415584,9.688311688311689,139,0.35251798561151076,22.007194244604317,80,0.2,40.1
TVC:DE10Y,151,151,0.7086092715231788,3.3443708609271523,150,0.6333333333333333,5.726666666666667,144,0.4861111111111111,11.215277777777779,115,0.30434782608695654,24.156521739130437,142,0.5845070422535211,10.02112676056338,132,0.4393939393939394,21.242424242424242,72,0.2638888888888889,42.083333333333336
TVC:FR10Y,129,125,0.648,3.376,125,0.608,5.416,120,0.5083333333333333,10.85,100,0.35,21.12,120,0.5666666666666667,9.891666666666667,101,0.48514851485148514,19.980198019801982,58,0.3103448275862069,46.810344827586206
TVC:GB10Y,151,146,0.726027397260274,3.280821917808219,145,0.6482758620689655,5.731034482758621,138,0.5362318840579711,9.297101449275363,123,0.3252032520325203,21.317073170731707,145,0.5517241379310345,10.220689655172414,127,0.4094488188976378,20.755905511811022,77,0.3116883116883117,38.324675324675326
TVC:JP10Y,55,55,0.7272727272727273,3.0545454545454547,55,0.5636363636363636,8.090909090909092,50,0.4,14.94,25,0.28,32.28,55,0.5636363636363636,9.636363636363637,51,0.35294117647058826,20.54901960784314,31,0.1935483870967742,40.03225806451613
TVC:US10Y,143,140,0.8,3.007142857142857,140,0.7214285714285714,5.042857142857143,138,0.5217391304347826,10.608695652173912,115,0.2956521739130435,23.417391304347827,138,0.6231884057971014,10.652173913043478,128,0.3984375,22.2109375,76,0.23684210526315788,41.18421052631579
