era,markets,pooled_n,stay_outside3_auc_eq_market,stay_outside3_auc_gt_0_5_markets,stay_outside5_auc_eq_market,stay_outside5_auc_gt_0_5_markets,extension5_auc_eq_market,extension5_auc_gt_0_5_markets,extension10_auc_eq_market,extension10_auc_gt_0_5_markets,remaining20_auc_eq_market,remaining20_auc_gt_0_5_markets,stay_outside3_endpoint_delta_eq_market,stay_outside3_positive_markets,stay_outside5_endpoint_delta_eq_market,stay_outside5_positive_markets,extension5_endpoint_delta_eq_market,extension5_positive_markets,extension10_endpoint_delta_eq_market,extension10_positive_markets,remaining20_endpoint_delta_eq_market,remaining20_positive_markets,remaining_life_endpoint_delta_eq_market,remaining_life_positive_markets
2010-2014,9,154,0.6468068439497011,8,0.6492977392977393,7,0.5573937777240151,5,0.44353372118078005,1,0.5087085753752422,4,0.36666666666666675,6,0.36666666666666675,6,0.1111111111111111,5,0.0,1,0.12222222222222223,5,-19.41481481481481,4
2015-2019,9,163,0.584587711671045,8,0.5923530944364278,5,0.5412492518374872,5,0.5649897551613238,7,0.6186542469875804,7,0.3166666666666667,7,0.30925925925925923,6,0.08888888888888889,3,0.1166666666666667,4,0.28703703703703703,6,3.0370370370370363,6
2020-2026,9,205,0.6547806829761718,9,0.6900134857426523,9,0.4865858079694428,2,0.3870112274707863,2,0.5591980987119877,7,0.31666666666666665,8,0.3537037037037037,8,-0.10925925925925926,1,-0.10925925925925924,1,0.10740740740740742,5,1.840740740740742,6
pre-2010,9,506,0.646944680084215,8,0.6407901941823131,8,0.539746447489206,7,0.5337341260691446,6,0.6345472696358703,9,0.5210689100201484,8,0.5053915425819451,8,0.19679376136419482,7,0.14769982554425282,5,0.22569536586564448,7,5.7337869797041625,7
