era,markets,reexpand5_eq,reexpand5_pos,reexpand10_eq,reexpand10_pos,future_net_positive_eq,future_net_positive_pos,remaining20_after3_eq,remaining20_after3_pos,remaining_life_after3_eq,remaining_life_after3_pos
2010-2014,3,0.12222222222222223,2,0.027777777777777752,2,-0.06481481481481484,1,0.0314814814814815,1,-7.814814814814816,1
2015-2019,7,0.5139455782312925,7,0.5928571428571429,7,0.18027210884353742,5,0.4629251700680273,6,23.262244897959185,5
2020-2026,6,0.1554713804713805,4,0.0585016835016835,4,0.01043771043771044,2,0.13661616161616164,5,1.1368686868686873,4
pre-2010,2,0.36904761904761907,2,0.3134920634920635,2,0.06349206349206352,1,0.38492063492063494,2,9.279761904761905,2
