stage,policy,eq_mean,pos,markets,median_pf
Markup,p0_persistence_gentle,0.14471263442691162,5,9,1.1599412537151903
Markup,p1_excursion_gentle,-0.03611697608124707,6,9,1.0759687570199845
Markup,p2_proof_eff_gentle,-0.2022943060017075,4,9,0.7129491724463466
Markup,p3_proof_eff_extension_gentle,-0.08013452022432437,4,9,0.9263938247899932
Markdown,p0_persistence_gentle,0.4956336312424722,6,9,1.466686346308636
Markdown,p1_excursion_gentle,0.5479256828056742,7,9,1.4513064660895005
Markdown,p2_proof_eff_gentle,0.32456961217197566,7,9,1.6040904518695358
Markdown,p3_proof_eff_extension_gentle,0.44526772208629534,7,9,1.3339748590238742
