a,b,markets,reexpand5_eq,reexpand5_pos,reexpand10_eq,reexpand10_pos,future_net_positive_eq,future_net_positive_pos,remaining20_after3_eq,remaining20_after3_pos,remaining_life_after3_eq,remaining_life_after3_pos
P1_WickHold,P0_NoTouch,9,-0.01694223871603339,4,-0.044148500682061144,4,-0.038029142210132455,6,-0.08370319981274119,2,-7.345288831885984,2
P1_WickHold,P3_FailedAcceptance,9,0.2901141552134685,9,0.24378330901582743,9,-0.007938599978514586,3,0.18008912840544294,8,2.5381240850974938,4
P2_Reclaim,P1_WickHold,9,0.03042851624311668,4,0.030828663126639518,4,-0.04144397031786542,3,-0.046304217470143766,3,-1.0861345964932125,4
P2_Reclaim,P3_FailedAcceptance,9,0.3205426714565852,9,0.2746119721424669,9,-0.04938257029638002,4,0.13378491093529915,6,1.451989488604281,5
