label,policy,markets,episodes,eq_market_mean_episode_return,eq_market_median_episode_return,eq_market_avg_exposure,eq_market_ever_full_actual,eq_market_bars_to_full_actual,vs_p0_ratio,vs_p0_delta
Failed,p0_persistence_gentle,9,1058,-1.025997075481637,-0.9410469171166262,0.40454223571621245,0.113528639557186,23.07369052042965,1.0,0.0
Failed,p1_excursion_gentle,9,1058,-1.271290382910358,-0.9668391324432221,0.4017747460263353,0.2506102001215264,11.866307951080506,1.2390779791585391,-0.2452933074287209
Failed,p2_proof_eff_gentle,9,1058,-0.8152719776092323,-0.6034588572206907,0.2794210408136222,0.12642667976975613,5.421367360995844,0.7946143289214705,0.21072509787240468
Failed,p3_proof_eff_extension_gentle,9,1058,-1.0609638738447678,-0.7531394673592519,0.35404688381441646,0.12642667976975613,5.421367360995844,1.034080797303166,-0.03496679836313077
Large,p0_persistence_gentle,9,308,5.852530853389669,4.1272478010113804,0.5615502494478469,0.9177169032565637,23.914529406598064,1.0,0.0
Large,p1_excursion_gentle,9,308,6.444736631913796,4.523432342953637,0.6098443738539223,1.0,9.692032134956763,1.1011879806120344,0.5922057785241268
Large,p2_proof_eff_gentle,9,308,3.401089811386811,2.3299253801171953,0.3289332544827863,0.7212893453098428,6.4315057168453444,0.5811314620267175,-2.451441042002858
Large,p3_proof_eff_extension_gentle,9,308,5.174163256726553,3.611869883627729,0.5300625452565902,0.7212893453098428,6.4315057168453444,0.8840898726283145,-0.678367596663116
Middle,p0_persistence_gentle,9,258,0.05089905959185805,0.15548847677352481,0.5346378703855202,0.6530239419732173,22.757431149097815,nan,nan
Middle,p1_excursion_gentle,9,258,0.032855795637645756,0.2518716807323396,0.6015448756241917,1.0,11.110105671971613,nan,nan
Middle,p2_proof_eff_gentle,9,258,0.052437017699351926,0.12249488994477947,0.32431797694917114,0.5991324999477173,7.043526408614128,nan,nan
Middle,p3_proof_eff_extension_gentle,9,258,-0.13559938961109053,0.1714168766976093,0.49899563144020653,0.5991324999477173,7.043526408614128,nan,nan
