add_policy,ticker,failed_warning_vs_none,failed_warning_vs_gentle,failed_warning_vs_balanced,large_warning_vs_none,large_warning_vs_gentle,large_warning_vs_balanced
simple_1atr,OANDA:EURUSD,0.08268975323106453,-0.11934403500605528,-0.25541874488451444,-1.4596176675683665,1.3243745022655586,2.653042130560526
simple_1atr,OANDA:GBPUSD,0.05119868825611462,-0.10484914754162311,-0.2560926406352848,-2.6533955472583823,1.1802455721881717,2.2766115483680434
simple_1atr,OANDA:USDJPY,0.07459597568745391,-0.13693191768372548,-0.3012757869103678,-1.943113551999975,1.4400596178238034,2.9854998701563016
simple_1atr,TVC:AU10Y,0.28060769641483363,-0.2678148903561992,-0.5825998344685928,-1.9845583936590865,1.570028159811466,3.3791049402689803
simple_1atr,TVC:DE10Y,0.14617065583988365,-0.16459524558006922,-0.4837024246907957,-1.8793036941308738,1.4838723080856226,3.365915603841758
simple_1atr,TVC:FR10Y,0.3903348709258383,-0.35199568467251696,-0.7130842253009,-1.3007434997343665,1.2280649888501092,2.7388595965564537
simple_1atr,TVC:GB10Y,0.2875910579864829,-0.2500766211625458,-0.5580677649765501,-0.4120363039413384,0.5806318607270589,1.8065988863979978
simple_1atr,TVC:JP10Y,0.008636033226149697,-0.05322709058102959,-0.14264249921421068,-0.5206376751536261,0.8215609229508525,1.6627758247695104
simple_1atr,TVC:US10Y,0.28197188460190836,-0.21540804149808013,-0.4269607237565757,-1.726750223404009,1.2112875440180613,2.71450657666995
progressive,OANDA:EURUSD,0.09050170523609369,-0.0822868546925567,-0.23070978806842568,-1.4596176675683665,1.1402172944380666,2.4470883879707417
progressive,OANDA:GBPUSD,0.04445246497452149,-0.05711929909994107,-0.193066199117357,-2.7316033133574233,0.9223538580172228,2.103742478269055
progressive,OANDA:USDJPY,0.07770059323516865,-0.060976688386254696,-0.22923641525501426,-1.943113551999975,1.3132742522934455,2.83375320779417
progressive,TVC:AU10Y,0.32191765922094695,-0.1353500556219096,-0.4813399940640144,-1.9845583936590865,1.3931394129342447,3.1772448387374275
progressive,TVC:DE10Y,0.17731052167547023,-0.13236044955953452,-0.43847195385523774,-1.879303694130872,1.3560741861605283,3.195560982460445
progressive,TVC:FR10Y,0.35141327178812487,-0.2051829085686534,-0.5200979926601876,-1.3283626774037032,1.0453935636588856,2.513346935880203
progressive,TVC:GB10Y,0.2957204300191958,-0.18498906593157782,-0.47317350499090094,-0.4412439864872928,0.4901021353774775,1.6853095892789618
progressive,TVC:JP10Y,0.018960412663472148,-0.059709745133161296,-0.16801487083301936,-0.6417707157152464,0.5723944828626983,1.550699204882478
progressive,TVC:US10Y,0.28871918655837847,-0.1892139763033691,-0.41712345320143507,-1.7927662098166834,1.064316956705892,2.527811544408153
