checkpoint,a,b,markets,pearson_eq_mean,spearman_eq_mean,same_quintile_eq_mean,within_one_quintile_eq_mean
5,atr,sigma20,9,0.9660146936251834,0.9871478571960528,0.8481185288746701,1.0
5,atr,medabs20,9,0.9362497403849288,0.9825399143914412,0.8263669212666868,1.0
5,sigma20,medabs20,9,0.9445308000122251,0.9877991280201613,0.8815501539238662,0.9991518235793045
10,atr,sigma20,9,0.9617796247022231,0.9842559984400734,0.8325248043900088,1.0
10,atr,medabs20,9,0.9466067551624691,0.9798157033039749,0.8345786369450896,1.0
10,sigma20,medabs20,9,0.9601685752479369,0.9864921935445903,0.8635292104096708,1.0
