era,markets,pooled_n,reexpand5_auc_eq_market,reexpand5_auc_gt_0_5_markets,reexpand10_auc_eq_market,reexpand10_auc_gt_0_5_markets,future_net_positive_auc_eq_market,future_net_positive_auc_gt_0_5_markets,remaining20_after3_auc_eq_market,remaining20_after3_auc_gt_0_5_markets,reexpand5_endpoint_delta_eq_market,reexpand5_positive_markets,reexpand10_endpoint_delta_eq_market,reexpand10_positive_markets,future_net_positive_endpoint_delta_eq_market,future_net_positive_positive_markets,remaining20_after3_endpoint_delta_eq_market,remaining20_after3_positive_markets,remaining_life_after3_endpoint_delta_eq_market,remaining_life_after3_positive_markets
2010-2014,9,146,0.6120307778641112,7,0.6217532467532467,6,0.44408803644914757,3,0.5436023338801116,7,0.16666666666666666,7,0.17592592592592593,6,-0.17592592592592593,2,0.1111111111111111,4,-3.416666666666665,4
2015-2019,9,159,0.6214714383695864,8,0.702329645662979,9,0.5973671261865706,7,0.7361251711251712,9,0.2944444444444445,8,0.5203703703703704,9,0.2111111111111111,5,0.5092592592592593,9,20.02962962962963,7
2020-2026,9,202,0.6830563555100592,9,0.6777455073264039,9,0.5694778614631556,6,0.6009552500780572,7,0.5055555555555556,9,0.47777777777777775,9,0.2351851851851852,6,0.29629629629629634,8,16.153703703703705,7
pre-2010,9,490,0.6720648060001587,8,0.6601722497217998,8,0.5300831270747561,5,0.6578597214472981,8,0.43302477536223666,8,0.358946976226388,8,0.106869974710532,5,0.5894561417684483,8,15.392446082684089,7
