era,markets,reexpand5_eq,reexpand5_pos,reexpand10_eq,reexpand10_pos,future_net_positive_eq,future_net_positive_pos,remaining20_after3_eq,remaining20_after3_pos,remaining_life_after3_eq,remaining_life_after3_pos
2010-2014,3,0.003968253968253954,1,0.18174603174603177,3,-0.026984126984127017,1,0.17857142857142858,2,-3.3952380952380943,1
2015-2019,4,0.5958333333333333,4,0.5625,4,0.22083333333333333,4,0.10833333333333334,3,8.125,4
2020-2026,5,0.10717171717171717,4,0.06595959595959594,2,0.002575757575757576,3,-0.03989898989898988,3,-1.911313131313132,2
pre-2010,6,0.4392950767723908,6,0.3076563535274969,6,-0.07827687033676144,3,0.2160627862760349,5,6.206389176965402,4
