stage_name,bucket,markets,n,return,mfe,duration,mfe4,mfe8
Markdown,Other,9,368,0.8337615188042083,6.224511666913674,38.30461384104941,0.35564691844198754,0.2218971140766909
Markup,Other,9,361,0.29814069158001844,5.455830559044148,32.918487754998125,0.33897441345864193,0.17237758482714438
Markup,DirectionalConflict,8,238,-0.013204020168477375,3.5187914048655484,29.294397551206558,0.3298665956197012,0.12783955950881418
Markdown,Aligned,8,230,0.33905989994129115,5.458064963537628,40.56222640649461,0.3671424388627913,0.20563003690531498
Markup,Aligned,9,165,0.36388727604574805,4.572913821552962,41.17863136137646,0.35074884084688007,0.1708563767387297
Markdown,DirectionalConflict,9,167,-0.005577676714414073,3.885549525207659,28.04756314913605,0.275836961120403,0.14960943701513432
Markdown,TurnRisk,8,53,-0.12204523486432517,4.476858604811058,31.036805555555556,0.2708333333333333,0.08819444444444445
Markup,TurnRisk,9,42,1.0195176670878803,5.873441566068127,50.3,0.462962962962963,0.24074074074074073
