checkpoint,normalizer,future_extension_q5_minus_q1,future_net_positive_q5_minus_q1,remaining20_q5_minus_q1,remaining_life_q5_minus_q1
5,atr,0.5417864522106906,-0.027006193491887653,0.5528824469754159,26.759027946916255
5,medabs20,0.5371429951446702,-0.009273290264451006,0.48643475065155867,23.0149242762186
5,sigma20,0.5388901081180586,-0.012399133296592202,0.4992594305762671,25.582907111003085
10,atr,0.6171601979384758,0.10446401111599823,0.6038780958668146,30.220454346183132
10,medabs20,0.5992785591910602,0.09576656414808732,0.5974852855343231,30.043731624618566
10,sigma20,0.622998221970344,0.10021017120559145,0.6193386099773988,29.972467654552773
