stage,rule,markets,pooled_n,trigger_rate_eq_market,no_trigger_rate_eq_market,delay_median_eq_market,delay_mean_eq_market,trigger_le_3_rate_all_eq_market,trigger_le_5_rate_all_eq_market,trigger_le_10_rate_all_eq_market,close_progress_atr_mean_eq_market,tax_fraction_median_eq_market,tax_fraction_mean_eq_market,remaining_life_mean_eq_market,remaining10_rate_eq_market,remaining20_rate_eq_market,reexpand5_rate_eq_market,reexpand10_rate_eq_market,oldbox_fail3_rate_eq_market
Markdown,R1_CloseExtreme,9,128,0.8140688994146167,0.18593110058538337,1.7777777777777777,3.6495811287477955,0.5940279725625444,0.6915020919148885,0.7485985787327378,0.7907852638654345,0.21593901445754735,0.347451349588425,37.16536796536797,0.9222582972582973,0.6775913900913901,0.8115568073901408,0.847286355619689,0.11184062850729519
Markdown,R5_LocalClose,9,128,0.8338602077508166,0.16613979224918338,1.6111111111111112,3.6026386648935667,0.6323377994172628,0.7054454470347143,0.7699493412599708,0.7037511064942903,0.20663815469619773,0.3418452405724687,36.29687115716528,0.8994453259159142,0.66053641347759,0.8048228006561341,0.847286355619689,0.13092031425364759
Markup,R1_CloseExtreme,9,108,0.8314113355780023,0.16858866442199774,2.1666666666666665,3.591358024691358,0.5734988776655443,0.6853675645342312,0.7845117845117845,0.9171891086838381,0.301614110241312,0.3745367789807042,35.097795414462084,0.8947971781305115,0.77989417989418,0.7733414733414733,0.8899634316300982,0.12423687423687424
Markup,R5_LocalClose,9,108,0.8581790123456791,0.14182098765432097,1.6111111111111112,3.1178537511870843,0.6399971941638607,0.7195426487093154,0.823625140291807,0.7911690983190487,0.22299280963856058,0.32672097678321943,35.042425475758805,0.8902171902171904,0.7675744009077343,0.7433362933362933,0.8575560242226908,0.14879441546108213
