family,threshold,markets,pooled_n,event_rate_eq_market_mean,recovery_eq_market_mean,recovery_eq_market_median,end_before_recovery_eq_market_mean,end_before_recovery_eq_market_median,bars_to_recovery_eq_market_mean,bars_to_recovery_eq_market_median,future_mfe_eq_market_mean,future_mfe_eq_market_median,future_mae_eq_market_mean,future_mae_eq_market_median,future_net_eq_market_mean,future_net_eq_market_median,remaining_bars_eq_market_mean,remaining_bars_eq_market_median,plus1_eq_market_mean,plus1_eq_market_median,plus2_eq_market_mean,plus2_eq_market_median,time_from_proof_eq_market_mean,time_from_proof_eq_market_median
giveback,0.5,9,1015,0.9857009555978384,0.6802562857379315,1.0,0.3197437142620684,0.0,6.3460337759120256,4,5.763851986053897,3.144122577263473,2.6317238685344764,1.9552434761215236,0.8574391306017886,-0.7565613288140982,39.21182208167821,32.0,0.6914639218380686,1.0,0.5528574881821574,1.0,3.392373548826449,3
giveback,1.0,9,1009,0.9803151438378546,0.585557668375694,1.0,0.414442331624306,0.0,7.736543976455262,5.0,5.537362955644111,2.571450178551396,2.5439792008024575,1.7759420941734467,0.7812297502230721,-0.6743846433835348,36.46422008439535,28.0,0.6589450376613849,1.0,0.5273886701079632,1.0,6.3427492597955,4.0
giveback,2.0,9,962,0.9267012797664734,0.4206317932376223,0.0,0.5793682067623777,1.0,9.710735155277867,7.0,5.209182229706027,2.402611787804418,2.28452554078027,1.855907071029436,0.8173612694612988,-0.4922128201709388,31.110888032443672,22.5,0.6460320067965328,1.0,0.4830894175268193,1.0,12.804346117801751,8.5
giveback,4.0,9,710,0.6331618468673456,0.2509926044858702,0.0,0.7490073955141298,1.0,13.38992374727669,9,4.596504258412917,1.769518208868134,2.061424058640478,1.3845896928057795,0.7129744910726425,-0.302238782651738,22.35027339751675,13.0,0.5685578760879088,1.0,0.42507551276372246,0.0,26.256675865412234,19
stall,5,9,986,0.959287014471849,0.5453989551458913,1.0,0.4546010448541086,0.0,7.20121423975555,5.0,5.160570414444995,2.4335204572289966,2.423942587159403,1.9751575374673376,0.6813785018059245,-0.647327027044653,33.84074670695376,25.0,0.6577775301709575,1.0,0.5073609415855164,1.0,9.84220835455038,8.0
stall,10,9,886,0.8629329905302714,0.38668302390270737,0.0,0.6133169760972925,1.0,8.06889164671622,6.0,4.148368085348199,1.6672592268392754,2.187514780058118,1.645890187525245,0.20814522965249557,-0.6549881361476493,26.566680842724818,16.0,0.5773141000912073,1.0,0.403819089656454,0.0,20.33163099251652,16.5
stall,20,9,507,0.49282338135434994,0.2471828726507414,0.0,0.7528171273492585,1.0,8.113227618710075,7,2.7106800437344005,0.8369101745299741,1.4961267630405821,0.8835974149994523,0.07493250850726142,-0.351385238970932,18.16347142915528,7.0,0.4358004853831113,0.0,0.29574145602749513,0.0,38.73341457414843,33
