label,policy,markets,episodes,eq_market_mean_episode_return,positive_mean_markets,eq_market_median_profit_factor,eq_market_mean_max_drawdown,eq_market_avg_exposure,eq_market_avg_bonus,vs_b0_delta,vs_b0_ratio
Failed,b0_persistence_gentle,9,1058,-1.025997075481637,0,0.05252789097091044,123.187229070296,0.40454223571621245,0.0,0.0,1.0
Failed,b1_e5_bonus,9,1058,-1.0622292315997803,0,0.04991468004366537,127.50056880141,0.41062408070383927,0.00608184498762684,-0.036232156118143344,1.0353140929774431
Failed,b2_e5_e10_bonus,9,1058,-1.0641926078588755,0,0.04984690943837508,127.7165065663258,0.4107895635244435,0.006247327808231071,-0.038195532377238495,1.03722772051695
Middle,b0_persistence_gentle,9,258,0.05089905959185805,4,0.6798244039964899,24.487656785224203,0.5346378703855202,0.0,nan,nan
Middle,b1_e5_bonus,9,258,0.007426668247875091,4,0.653635808428634,26.341308894312604,0.5582837931806269,0.023645922795106755,nan,nan
Middle,b2_e5_e10_bonus,9,258,-0.03880434997170498,4,0.6581687211038061,27.188038184051848,0.5655194177767541,0.030881547391233864,nan,nan
Large,b0_persistence_gentle,9,308,5.852530853389669,9,34.577419364447,12.688543347309448,0.5615502494478469,0.0,0.0,1.0
Large,b1_e5_bonus,9,308,6.192607330831469,9,38.19206791704485,14.373045190379653,0.5985574117277911,0.037007162279944085,0.3400764774417997,1.058107592417874
Large,b2_e5_e10_bonus,9,308,6.275769279457362,9,32.695646877387205,15.198487680280968,0.610657829457904,0.04910758001005707,0.4232384260676927,1.0723171627232964
