policy,markets,eq_market_mean_episode_return,positive_mean_markets,pf_gt1_markets,positive_cumulative_markets,eq_market_median_profit_factor,eq_market_mean_max_drawdown,bootstrap95_lo,bootstrap95_hi,loo_min_eq_mean,loo_max_eq_mean,loo_positive_count,eq_market_top1pct_positive_share,eq_market_stress_remove_best_mean,eq_market_stress_remove_top1pct_mean,eq_market_stress_cap95_mean,eq_market_mean_break_even_friction_positive_only,eq_market_net_mean_friction_0.00,positive_markets_friction_0.00,eq_market_net_mean_friction_0.01,positive_markets_friction_0.01,eq_market_net_mean_friction_0.02,positive_markets_friction_0.02,eq_market_net_mean_friction_0.05,positive_markets_friction_0.05,eq_market_net_mean_friction_0.10,positive_markets_friction_0.10
excursion_balanced_latch,9,0.1750111998574648,5,5,5,1.179659342590923,52.77314931527042,-0.07633088935458893,0.3995170726691268,0.08801041158697773,0.21979857532998281,9,0.2589804035491923,0.03992512351089946,-0.0903935557507162,0.07356124028765024,0.13269534467381913,0.1750111998574648,5,0.14644325620949916,5,0.11787531256153352,5,0.03217148161763658,5,-0.11066823662219165,2
excursion_gentle_latch,9,0.2745874097506975,6,6,6,1.2153944228841156,52.18821591729754,0.003891955580338577,0.523629300258676,0.18423290773677428,0.3204760861158482,9,0.24878268433827921,0.11498386261751355,-0.02893033822070855,0.15416955030585178,0.18699398185484487,0.2745874097506975,6,0.2527831113956409,6,0.23097881304058435,5,0.16556591797541462,5,0.05654442620013164,4
formal_hold,9,0.5208469970170575,9,9,9,1.2495046170939277,73.70212715984096,0.1629154661046687,0.8883520004068804,0.4177362355568514,0.5800108427855035,9,0.21045922009903728,0.2656442365084477,0.07425736814947727,0.3057228307483747,0.26042349850852875,0.5208469970170575,9,0.5008469970170576,9,0.4808469970170575,9,0.4208469970170576,7,0.32084699701705754,7
full_balanced_latch,9,0.1620531090754047,5,5,5,1.1099363135962999,59.70489615672253,-0.10338015721946121,0.40060035384304016,0.07685525531052236,0.2133865908401303,9,0.21175330297524425,0.02139850025012565,-0.11346128149768998,0.038598680523966665,0.09680206645628679,0.1620531090754047,5,0.1226103676430968,5,0.08316762621078884,5,-0.035160598086134955,4,-0.23237430524767458,2
full_gentle_latch,9,0.2718685862059139,6,6,6,1.1267039321833776,57.91121517208668,-0.015619003132875378,0.5419030309609846,0.18755651066203044,0.315865796997898,9,0.20355847774845015,0.10736577730649782,-0.04413471864641354,0.1224814369970735,0.13750746528904664,0.2718685862059139,6,0.2417249071939539,6,0.21158122818199385,6,0.12115019114611372,5,-0.02956820391368649,3
persistence_balanced_latch,9,0.2465998000155687,7,7,7,1.2267004930003833,36.692671525454195,0.07917053780734576,0.42278554397523194,0.1723216342858132,0.29552416846533897,9,0.26094353588656244,0.11911966283409853,0.0027628589716374775,0.15200093950615387,0.12969902783965342,0.2465998000155687,7,0.22229217602066548,7,0.19798455202576226,7,0.12506168004105256,6,0.003523560066536412,4
persistence_gentle_latch,9,0.3322061747673153,8,8,8,1.2597058309873572,37.34590707707558,0.13535884291379438,0.532223091688945,0.2521136659369014,0.3929630633537628,9,0.2470593478019382,0.18001922605558307,0.04972251326557666,0.21874707170417929,0.1869222385689607,0.3322061747673153,8,0.312371013626094,8,0.2925358524848728,8,0.2330303690612091,8,0.13385456335510298,6
