stage_name,policy,markets,episodes,eq_market_mean_episode_return,positive_mean_markets,eq_market_median_profit_factor,eq_market_mean_max_drawdown,eq_market_avg_exposure,eq_market_avg_bonus
Markup,b0_persistence_gentle,9,806,0.14471263442691162,5,1.1599412537151903,33.873669574578486,0.44421393806632214,0.0
Markup,b1_e5_bonus,9,806,0.15769638823385337,5,1.2147519241025249,36.212326374283975,0.45613978428632573,0.011925846220003694
Markup,b2_e5_e10_bonus,9,806,0.15565463586431305,6,1.2067755762141004,37.408226308978655,0.45864565049514117,0.014431712428819113
Markdown,b0_persistence_gentle,9,818,0.4956336312424722,6,1.466686346308636,29.316834446459602,0.4597146092090852,0.0
Markdown,b1_e5_bonus,9,818,0.5414791642212656,6,1.5151819146737489,31.51467320259802,0.4755260837800306,0.015811474570945314
Markdown,b2_e5_e10_bonus,9,818,0.5583551956934509,7,1.5223430899971029,32.85257329374851,0.4792128907007929,0.01949828149170775
