checkpoint,normalizer,markets,auc_eq_mean,auc_eq_median,markets_gt_0_5
5,atr,9,0.7641951648367562,0.790521978021978,9
5,medabs20,9,0.7556103714324856,0.7777432712215321,9
5,sigma20,9,0.760545865653373,0.7755693581780538,9
10,atr,9,0.8362391021707021,0.8444444444444444,9
10,medabs20,9,0.8225429290615062,0.8334398976982097,9
10,sigma20,9,0.8278452467275108,0.8436700767263428,9
