policy,markets,pooled_n,harvest_eq_market_mean,avg_exposure_eq_market_mean,under_full_frac_eq_market_mean,increase_count_eq_market_mean,turnover_eq_market_mean
full,9,1624,0.5208469970170576,1.0,0.0,0.0,2.0
proof_0_5,9,1624,0.4804287436687833,0.7105890470553892,0.3858812705928144,0.7097369555758983,1.5646054333638475
proof_1_0,9,1624,0.44102738291993654,0.6405300416560836,0.47929327779188846,0.6266898261883467,1.4400347392825201
proof_2_0,9,1624,0.4092297951164324,0.537366876342422,0.6168441648767709,0.4968049645254948,1.245207446788242
ladder,9,1624,0.4435619739017174,0.6294953216846316,0.6168441648767709,1.4090894365302846,1.41661587314487
