stage,stage_name,giveback_bucket_atr,markets,n_total,equal_market_mean_giveback_atr,equal_market_exit_hazard_next_bar,equal_market_probability_same_state_next_10b,equal_market_mean_causal_10b_move_current_atr,equal_market_median_causal_10b_move_current_atr,markets_directional_mean
2,Markup,0_0.5,9,6743,0.1599150021929672,0.006564131885198509,0.8934565169069479,0.02193284366820441,0.019332209285104325,6
2,Markup,0.5_1,9,3624,0.7465490529329708,0.007845387060947012,0.854847170109906,0.0830371004468113,-0.07251183207088177,7
2,Markup,1_2,9,5729,1.4688356145238923,0.01901471612217974,0.7735546361427905,0.10424616249753893,-0.06548375111265581,5
2,Markup,2_4,9,6931,2.850354410799566,0.040717251517675565,0.6036926931948875,-0.018106414651128888,-0.1827924347067883,5
2,Markup,4p,9,3489,5.274660970091888,0.13490180898891524,0.3595181347026728,0.09577769332762553,0.0021169704368998185,5
5,Markdown,0_0.5,9,8463,0.15431000463602024,0.0035080365927479093,0.8950897141507466,-0.31266330670442133,-0.1663573621800799,6
5,Markdown,0.5_1,9,4093,0.743490767290171,0.013213285123854702,0.8410195141819733,-0.1617153376565998,-0.08162154439129204,6
5,Markdown,1_2,9,6347,1.469317106869928,0.01783880198367556,0.7817357681472008,-0.25946864771400907,-0.1694478387556461,9
5,Markdown,2_4,9,7077,2.8199546815897194,0.034639575066926304,0.6411725364411623,-0.2520186616922875,-0.1041532767511381,7
5,Markdown,4p,9,4297,5.692473481717607,0.12945592191314795,0.4197178052242202,-0.030311248719456632,0.1360094510799113,4
