era,rule,markets,pooled_n,trigger_rate_eq_market,no_trigger_rate_eq_market,delay_median_eq_market,delay_mean_eq_market,trigger_le_3_rate_all_eq_market,trigger_le_5_rate_all_eq_market,trigger_le_10_rate_all_eq_market,close_progress_atr_mean_eq_market,tax_fraction_median_eq_market,tax_fraction_mean_eq_market,remaining_life_mean_eq_market,remaining10_rate_eq_market,remaining20_rate_eq_market,reexpand5_rate_eq_market,reexpand10_rate_eq_market,oldbox_fail3_rate_eq_market
2010-2014,R1_CloseExtreme,9,44,0.817063492063492,0.18293650793650795,1.6666666666666667,3.0148148148148146,0.651984126984127,0.7260582010582011,0.7948412698412698,0.885316338038776,0.3243889178283059,0.3623127055907425,37.62777777777777,0.8759259259259259,0.7148148148148148,0.7703703703703704,0.8444444444444444,0.07777777777777778
2010-2014,R5_LocalClose,9,44,0.817063492063492,0.18293650793650795,1.6111111111111112,2.7944444444444443,0.651984126984127,0.7260582010582011,0.7948412698412698,0.709020562410026,0.2684845547239555,0.3125897091656948,37.84814814814815,0.8759259259259259,0.7148148148148148,0.7703703703703704,0.8444444444444444,0.0962962962962963
2015-2019,R1_CloseExtreme,9,59,0.8805555555555556,0.11944444444444444,1.7222222222222223,3.1733245149911817,0.675793650793651,0.7381393298059965,0.8342592592592593,0.7279887981527534,0.25972049031566774,0.3297360864843714,35.92676366843034,0.937389770723104,0.7573192239858907,0.7653439153439153,0.876851851851852,0.13822751322751323
2015-2019,R5_LocalClose,9,59,0.9027777777777778,0.09722222222222222,1.5555555555555556,3.016931216931217,0.732583774250441,0.7603615520282188,0.8703703703703703,0.6194495534426376,0.2321400280357625,0.29746821940080365,35.73871252204586,0.9151675485008819,0.740652557319224,0.7431216931216932,0.876851851851852,0.18267195767195765
2020-2026,R1_CloseExtreme,9,69,0.7983164983164983,0.2016835016835017,4.166666666666667,5.394708994708995,0.4431818181818182,0.6117003367003367,0.7002525252525253,0.6758580418200703,0.2943603184843735,0.380165087920603,32.2689594356261,0.8858024691358026,0.6517636684303352,0.7685626102292769,0.9018959435626103,0.16596119929453262
2020-2026,R5_LocalClose,9,69,0.8399831649831649,0.16001683501683503,2.888888888888889,4.857407407407408,0.5144781144781145,0.6394781144781145,0.7465488215488215,0.610929581297712,0.29529650914568545,0.36227555931967215,32.025308641975315,0.8659611992945327,0.6438271604938272,0.7315255731922398,0.8518959435626102,0.17522045855379187
pre-2010,R1_CloseExtreme,9,64,0.791005291005291,0.20899470899470898,2.2222222222222223,2.775036075036075,0.6576719576719576,0.7150793650793651,0.7428571428571429,0.9811346916251844,0.34818161438914114,0.3790108157692251,35.69538239538239,0.9073593073593074,0.6163059163059165,0.8253968253968255,0.8668430335097002,0.1315295815295815
pre-2010,R5_LocalClose,9,64,0.843915343915344,0.15608465608465608,2.0555555555555554,2.597210197210197,0.729100529100529,0.7865079365079365,0.7957671957671958,0.8552698860754666,0.2926906047060702,0.36565031034318896,34.63246753246753,0.9036556036556037,0.5866762866762867,0.782010582010582,0.8112874779541446,0.16936026936026935
