checkpoint,era,eligible_markets,eligible_cells,future_extension_delta_eq_market,future_extension_delta_median_market,future_extension_positive_markets,future_net_positive_delta_eq_market,future_net_positive_delta_median_market,future_net_positive_positive_markets,remaining20_delta_eq_market,remaining20_delta_median_market,remaining20_positive_markets,remaining_life_delta_eq_market,remaining_life_delta_median_market,remaining_life_positive_markets
5,2010-2014,4,4,-0.12916666666666665,-0.09166666666666665,2,-0.04583333333333331,0.033333333333333354,2,0.10000000000000002,0.16666666666666666,2,-10.133333333333333,-2.0,2
5,2015-2019,5,6,0.02285714285714289,-0.1071428571428571,2,0.14714285714285716,0.07142857142857145,3,0.24857142857142858,0.26666666666666666,4,21.168095238095237,16.5,5
5,2020-2026,5,6,0.11666666666666665,0.08333333333333337,3,0.11666666666666665,0.16666666666666666,3,0.13333333333333333,0.0,2,-4.249999999999999,4.0,4
10,2015-2019,1,1,-0.4666666666666666,-0.4666666666666666,0,-0.2666666666666666,-0.2666666666666666,0,-0.2666666666666666,-0.2666666666666666,0,-15.066666666666663,-15.066666666666663,0
