stage,stage_name,markets,n_runs,median_of_market_km_medians_bars,equal_market_survive_5b,equal_market_exit_by_5b,markets_survival_gt_50pct_5b,equal_market_survive_10b,equal_market_exit_by_10b,markets_survival_gt_50pct_10b,equal_market_survive_20b,equal_market_exit_by_20b,markets_survival_gt_50pct_20b,equal_market_survive_40b,equal_market_exit_by_40b,markets_survival_gt_50pct_40b,equal_market_survive_60b,equal_market_exit_by_60b,markets_survival_gt_50pct_60b,equal_market_survive_120b,equal_market_exit_by_120b,markets_survival_gt_50pct_120b
1,Accumulation,9,426,8.0,0.6876078279857911,0.3123921720142089,9,0.41157525901769365,0.5884247409823063,0,0.19604763495184285,0.8039523650481571,0,0.037569757639027174,0.9624302423609729,0,0.0,1.0,0,0.0,1.0,0
2,Markup,9,813,24.0,0.9101430861275605,0.08985691387243955,9,0.7484129097342838,0.25158709026571624,9,0.5588953818220538,0.4411046181779462,9,0.33260046931360504,0.6673995306863949,0,0.143040915604049,0.856959084395951,0,0.02605263633673514,0.9739473636632648,0
3,Reaccumulation,8,20,3.0,0.3229166666666667,0.6770833333333333,2,0.1875,0.8125,1,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0
4,Distribution,9,412,10.0,0.7079615316171001,0.29203846838289993,9,0.4907347319809495,0.5092652680190505,4,0.21725139631573837,0.7827486036842617,0,0.05337381603801642,0.9466261839619836,0,0.007034632034632036,0.9929653679653679,0,0.0,1.0,0
5,Markdown,9,819,28.0,0.9061173776889001,0.0938826223110999,9,0.7750322160712476,0.22496778392875239,9,0.598685233605551,0.40131476639444896,8,0.32197324283563256,0.6780267571643674,0,0.18404782541588335,0.8159521745841166,0,0.03185205554240709,0.9681479444575929,0
6,Redistribution,3,3,6.0,0.6666666666666666,0.33333333333333337,2,0.3333333333333333,0.6666666666666667,1,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0
