policy,markets,episodes,eq_market_mean_episode_return,positive_mean_markets,eq_market_median_profit_factor,eq_market_mean_max_drawdown,eq_market_turnover_per_episode,eq_market_break_even_friction,eq_market_avg_exposure,eq_market_ever_full_actual,bootstrap95_lo,bootstrap95_hi,loo_min_eq_mean,loo_positive_count,eq_market_net_mean_friction_0.00,positive_markets_friction_0.00,eq_market_net_mean_friction_0.01,positive_markets_friction_0.01,eq_market_net_mean_friction_0.02,positive_markets_friction_0.02,eq_market_net_mean_friction_0.05,positive_markets_friction_0.05,eq_market_net_mean_friction_0.10,positive_markets_friction_0.10
p0_persistence_gentle,9,1624,0.33195170221095057,8,1.2597140888713425,37.34964037083935,1.9780195595079722,0.16422136843157576,0.45176927941567695,0.3399526324087498,0.13668221309477043,0.5412741568549291,0.25194315222159517,9,0.33195170221095057,8,0.31217150661587083,8,0.2923913110207911,8,0.23305072423555192,8,0.13414974626015333,6
p1_excursion_gentle,9,1624,0.2748148075649035,6,1.2147545483640252,52.19490255136529,2.180950047615527,0.1658301617326195,0.4679729172419662,0.4967141690647208,0.010471860767776086,0.5339711394038987,0.18394813031809204,9,0.2748148075649035,6,0.2530053070887481,6,0.2311958066125928,5,0.1657673051841267,5,0.05671980280334986,4
p2_proof_eff_gentle,9,1624,0.07532465088641462,5,1.1158783308763887,38.71320345766701,1.465051775076185,0.05440615951135007,0.29536364407497526,0.30085249694106356,-0.14196714894033083,0.2526941971669084,-0.003111264550117612,8,0.07532465088641462,5,0.06067413313565277,5,0.04602361538489091,5,0.002072062132605295,4,-0.07118052662117861,3
p3_proof_eff_extension_gentle,9,1624,0.19379073995565317,6,1.1014565553922814,49.27393101695795,1.6590050170248398,0.10588302794444927,0.4054080696937266,0.30085249694106356,-0.04736949716833464,0.41911216911281335,0.10398159542367433,9,0.19379073995565317,6,0.17720068978540475,6,0.16061063961515637,6,0.11084048910441158,4,0.02789023825316984,3
