era,markets,survive_outside3_auc_eq_market,survive_outside3_auc_gt_0_5_markets,survive_outside5_auc_eq_market,survive_outside5_auc_gt_0_5_markets,extension5_auc_eq_market,extension5_auc_gt_0_5_markets,extension10_auc_eq_market,extension10_auc_gt_0_5_markets,remaining20_auc_eq_market,remaining20_auc_gt_0_5_markets,survive_outside3_endpoint_delta_eq_market,survive_outside3_positive_markets,survive_outside5_endpoint_delta_eq_market,survive_outside5_positive_markets,extension5_endpoint_delta_eq_market,extension5_positive_markets,extension10_endpoint_delta_eq_market,extension10_positive_markets,remaining20_endpoint_delta_eq_market,remaining20_positive_markets,remaining_life_endpoint_delta_eq_market,remaining_life_positive_markets
2010-2014,9,0.4409691014452919,1,0.44591510341510343,1,0.37429849132635507,2,0.36355670473317525,1,0.4738549516327294,4,-0.048148148148148155,3,-0.01111111111111112,4,-0.1111111111111111,1,-0.12962962962962965,0,-0.06851851851851852,2,8.707407407407407,5
2015-2019,9,0.4164972142055476,2,0.4345923520923521,3,0.3537508479175146,3,0.3818077601410935,3,0.35337517420850756,2,-0.2574074074074074,2,-0.18333333333333335,1,-0.1259259259259259,2,-0.07962962962962965,1,-0.35740740740740745,0,-16.094444444444445,2
2020-2026,9,0.5159039605154894,5,0.5117363886113887,3,0.448796427667727,3,0.5589500396118043,6,0.4069867992090214,2,0.01851851851851852,5,0.01666666666666667,5,-0.15,1,-0.06851851851851852,1,-0.09814814814814814,2,-15.359259259259261,2
pre-2010,9,0.540570066506759,5,0.5462156042588858,4,0.5248925478678296,5,0.5034427212713215,3,0.4485545600794961,3,0.09850330483070419,5,-0.01013133323504841,3,0.05201176962012874,5,-0.0027697921273772547,4,-0.09607443854734878,2,-6.165390805444984,2
