era,markets,survive_outside3_auc_eq_market,survive_outside3_auc_gt_0_5_markets,survive_outside5_auc_eq_market,survive_outside5_auc_gt_0_5_markets,extension5_auc_eq_market,extension5_auc_gt_0_5_markets,extension10_auc_eq_market,extension10_auc_gt_0_5_markets,remaining20_auc_eq_market,remaining20_auc_gt_0_5_markets,survive_outside3_endpoint_delta_eq_market,survive_outside3_positive_markets,survive_outside5_endpoint_delta_eq_market,survive_outside5_positive_markets,extension5_endpoint_delta_eq_market,extension5_positive_markets,extension10_endpoint_delta_eq_market,extension10_positive_markets,remaining20_endpoint_delta_eq_market,remaining20_positive_markets,remaining_life_endpoint_delta_eq_market,remaining_life_positive_markets
2010-2014,9,0.4605276117180879,3,0.4628968253968254,4,0.4375215103285279,5,0.4567155067155067,2,0.5231228647895314,4,-0.24166666666666667,1,-0.24166666666666667,1,-0.11249999999999999,0,-0.0625,0,0.18333333333333338,3,11.2375,2
2015-2019,9,0.45264299743466413,3,0.4767185746352413,3,0.38542090625423964,4,0.3826432980599647,4,0.36937411354078026,2,-0.13518518518518519,1,-0.12037037037037036,1,-0.05925925925925926,3,-0.05925925925925926,2,-0.32962962962962966,0,-19.912962962962965,2
2020-2026,9,0.5189658526751258,4,0.5587223000764667,6,0.6201876837526509,7,0.6805548747276688,8,0.519405162738496,4,0.16296296296296298,5,0.19074074074074077,5,0.1814814814814815,6,0.16111111111111112,5,0.027777777777777804,4,-15.192592592592591,3
pre-2010,9,0.5517583239805463,3,0.562389770723104,3,0.5824744427685604,4,0.5915032679738562,4,0.5122955747955749,3,0.32222222222222224,3,0.15555555555555559,2,0.3055555555555556,3,0.19444444444444445,2,0.19444444444444445,2,12.333333333333334,2
