date,IPI
2006-04-19,62.303435019589415
2006-04-20,71.022746257009956
2006-04-21,64.643267219098973
2006-04-24,64.394632353285061
2006-05-01,62.815970249727236
2006-05-02,70.230289981827383
2006-05-03,68.456867341141233
2006-05-04,65.080450601886554
2006-05-10,64.645731359882134
2006-05-11,68.508546876808779
2006-05-12,70.552262881538894
2006-05-15,67.887541513334028
2007-11-02,62.671529761257602
2007-11-05,69.543094477067285
2007-11-06,72.932668222405013
2007-11-07,77.75684626808669
2007-11-08,74.802613385995386
2007-11-09,68.891080177318344
2007-11-12,67.473491817426222
2007-11-13,62.88214077242656
2007-11-14,61.771924464561934
2007-11-15,62.100872494221768
2007-11-20,62.405872231400494
2007-11-21,66.148670084401886
2007-11-23,64.896656613591048
2007-11-26,61.037358043939818
2008-02-27,64.697687475225422
2008-02-28,61.618478464367513
2008-02-29,64.539895570074975
2008-03-03,64.581020133012885
2008-03-04,69.224260835581873
2008-03-05,69.786897378996315
2008-03-06,79.245344653733
2008-03-07,79.446864154520767
2008-03-10,79.780268189327487
2008-03-11,80.770402188844457
2008-03-12,80.952962949553964
2008-03-13,80.21190310877374
2008-03-14,76.178858375231442
2008-03-17,63.298333026197419
2008-05-20,61.412184468265622
2008-05-21,65.509279689827991
2008-05-22,69.500817427538152
2008-05-23,67.72463702186819
2008-05-27,62.3739008545638
2008-05-28,60.422328894698445
2008-06-02,61.381938894229286
2008-06-12,60.267612556279133
2008-06-13,61.088389582287178
2008-06-16,61.549969311351688
2008-06-17,62.850927892947091
2008-06-18,60.341378301178707
2008-06-26,60.54322513595227
2008-06-27,68.514069317918
2008-06-30,64.839531943660944
2008-07-01,66.129335071895056
2008-07-02,70.2372923806507
2008-07-03,73.187941147081887
2008-07-07,69.661617527653476
2010-12-21,60.384412906026853
2010-12-22,62.011391397099302
2010-12-23,64.465689687876562
2010-12-27,63.516391440599065
2010-12-28,63.302670222977945
2010-12-29,63.854724748344225
2011-01-12,62.230488253885255
2011-01-13,61.780956276954235
2011-01-19,60.485575139099808
2011-02-24,61.698730383677962
2011-02-25,64.11279412844037
2011-02-28,63.36370412516164
2011-03-01,62.52360119805013
2011-03-02,63.848459146937323
2011-03-03,65.367358044449219
2011-03-04,66.34497393016197
2011-03-07,65.69996827468627
2011-03-08,64.907917867564734
2011-03-09,66.376495771632932
2011-03-10,61.028694200704045
2011-04-08,63.36928258700906
2011-04-11,63.73187703562197
2011-04-12,60.220770299465315
2011-04-21,60.356876296939753
2018-01-05,60.708543555021407
2018-01-08,60.062339086745169
2018-01-09,62.135784131062763
2018-01-10,64.656203823910943
2018-01-11,64.295281408193091
2018-01-12,62.701823949646332
2018-01-16,63.43270810655055
2018-01-17,65.650668811393771
2018-01-18,66.699932392380475
2018-01-19,66.936102957378111
2018-01-22,66.243325536722651
2018-01-23,67.484163623732655
2018-01-24,69.266267043798464
2018-01-25,68.188718431059925
2018-01-26,68.575673643673383
2018-01-29,69.38838224480142
2018-01-30,66.225191532529806
2018-01-31,64.710609357560443
2018-02-01,67.216632146401921
2018-02-02,63.587609913595898
2018-02-05,61.282007203539621
2021-02-09,60.744236062720688
2021-02-16,61.309256225908911
2021-02-17,63.003934377485827
2021-02-18,61.895143309475955
2021-02-22,60.760023136043401
2021-02-23,62.209642089553611
2021-02-24,62.987286029011841
2021-02-25,62.838402335930155
2022-03-01,70.249395265761379
2022-03-02,75.178057839521102
2022-03-03,84.252324325797758
2022-03-04,84.870266924533695
2022-03-07,84.988534390065254
2022-03-08,90.180691673407239
2022-03-09,89.377188487312935
2022-03-10,83.478442883833253
2022-03-11,84.057697342098123
2022-03-14,83.046975964091871
2022-03-15,77.145980948982753
2022-03-16,70.731946825656237
2022-03-17,74.08722773813615
