date,SHV,GSG
2007-01-11,81.788491753396386,36.319999694824219
2007-01-12,81.83367482163392,36.880001068115234
2007-01-16,81.818631863857107,36.150001525878906
2007-01-17,81.86378396357631,36.319999694824219
2007-01-18,81.856227645104781,35.889999389648438
2007-01-19,81.841153718809636,36.810001373291016
2007-01-22,81.87132479778866,36.880001068115234
2007-01-23,81.87887337413062,37.75
2007-01-24,81.923971278942744,37.950000762939453
2007-01-25,81.923971278942744,37.450000762939453
2007-01-26,81.916453671119115,37.830001831054688
2007-01-29,81.976594533708081,36.970001220703125
2007-01-30,81.976594533708081,38.419998168945312
2007-01-31,82.014236767733237,39.049999237060547
2007-02-01,82.01727168252917,38.590000152587891
2007-02-02,82.039948380073341,39.090000152587891
2007-02-05,82.062555398451252,39.290000915527344
2007-02-06,82.055030048498082,39.020000457763672
2007-02-07,82.100282795901833,38.75
2007-02-08,82.092680024652822,39.630001068115234
2007-02-09,82.115418659233612,39.709999084472656
2007-02-12,82.115418659233612,38.450000762939453
2007-02-13,82.115418659233612,39.299999237060547
2007-02-14,82.168212240849755,38.720001220703125
2007-02-15,82.175714364414205,38.950000762939453
2007-02-16,82.190811517098084,39.430000305175781
2007-02-20,82.198429772606261,39.200000762939453
2007-02-21,82.228585367326133,39.849998474121094
2007-02-22,82.228585367326133,40.150001525878906
2007-02-23,82.266266311999203,40.569999694824219
2007-02-26,82.273791661952416,40.990001678466797
2007-02-27,82.288950751672942,40
2007-02-28,82.341744333289085,40.5
2007-03-01,82.339475889321704,40.599998474121094
2007-03-02,82.384829284410017,40.349998474121094
2007-03-05,82.36970890533739,39.549999237060547
2007-03-06,82.377257481679308,40.080001831054688
2007-03-07,82.407521466213339,40.630001068115234
2007-03-08,82.415108753203185,40.630001068115234
2007-03-09,82.407521466213339,39.909999847412109
2007-03-12,82.430236874405409,39.200000762939453
2007-03-13,82.483216267131468,39.200000762939453
2007-03-14,82.490702906436766,39.380001068115234
2007-03-15,82.483216267131468,39.150001525878906
2007-03-16,82.49836761472244,38.830001831054688
2007-03-19,82.49836761472244,39.240001678466797
2007-03-20,82.521044312266596,39.020000457763672
2007-03-21,82.573923057308107,39.450000762939453
2007-03-22,82.551269586152699,40.25
2007-03-23,82.581556797075464,40.25
2007-03-26,82.589113115546979,40.639999389648438
2007-03-27,82.611820781609467,40.740001678466797
2007-03-28,82.634505221283206,41.180000305175781
2007-03-29,82.657181918827348,41.900001525878906
2007-03-30,82.657181918827348,41.5
2007-04-02,82.660967820192724,41.669998168945312
2007-04-03,82.676119167783668,41.380001068115234
2007-04-04,82.721635147593204,41.869998931884766
2007-04-05,82.714094313380841,41.799999237060547
2007-04-09,82.721635147593204,41.299999237060547
2007-04-10,82.744389266433174,41.569999694824219
2007-04-11,82.76712015888441,41.450000762939453
2007-04-12,82.789889761983545,41.75
2007-04-13,82.805025625315366,41.799999237060547
2007-04-16,82.820215683554224,41.520000457763672
2007-04-17,82.827810712673624,41.159999847412109
2007-04-18,82.880852042436359,41.229999542236328
2007-04-19,82.888493524333285,41
2007-04-20,82.880852042436359,41.180000305175781
2007-04-23,82.911216674654952,41.619998931884766
2007-04-24,82.918850414422295,41.310001373291016
2007-04-25,82.941527111966437,41.779998779296875
2007-04-26,82.918850414422295,41.599998474121094
2007-04-27,82.949137625345031,42.139999389648438
2007-04-30,82.964250262288104,41.689998626708984
2007-05-01,82.987886983900339,41.490001678466797
2007-05-02,83.025947292922908,41.220001220703125
2007-05-03,83.03347264287612,41.400001525878906
2007-05-04,83.048709153892474,41.020000457763672
2007-05-07,83.03347264287612,40.340000152587891
