start_date,regime_id
2007-01-04,7
2007-01-12,4
2007-01-16,7
2007-01-26,4
2007-01-31,5
2007-02-08,4
2007-02-12,5
2007-02-13,4
2007-02-14,5
2007-02-16,4
2007-02-20,5
2007-02-21,1
2007-02-22,2
2007-02-26,5
2007-03-06,4
2007-03-08,5
2007-03-13,4
2007-03-14,5
2007-03-15,4
2007-03-16,5
2007-03-23,6
2007-04-10,3
2007-04-11,6
2007-04-12,3
2007-04-13,6
2007-04-16,3
2007-04-17,6
2007-04-26,3
2007-04-27,6
2007-05-08,5
2007-05-11,6
2007-05-16,8
2007-05-17,9
2007-05-21,6
2007-05-23,5
2007-05-25,6
2007-05-29,5
2007-06-01,3
2007-06-11,6
2007-06-13,3
2007-07-20,6
2007-07-26,9
2007-07-30,6
2007-07-31,9
2007-08-03,8
2007-08-09,7
2007-08-15,8
2007-08-16,7
2007-09-04,8
2007-09-14,9
2008-01-17,8
2008-01-29,9
2008-02-04,8
2008-02-07,5
2008-02-11,6
2008-02-13,3
2008-02-14,6
2008-03-03,9
2008-03-24,6
2008-03-27,9
2008-03-31,6
2008-04-04,3
2008-04-07,6
2008-04-22,9
2008-04-24,6
2008-05-13,3
2008-05-14,6
2008-06-12,9
2008-06-13,6
2008-06-30,9
2008-07-17,6
2008-07-21,9
2008-07-22,6
2008-07-24,5
2008-08-01,4
2008-08-05,1
2008-09-25,4
2008-10-01,7
2009-01-26,8
2009-02-03,7
2009-02-25,8
2009-02-27,7
2009-03-18,8
2009-03-23,5
2009-03-24,8
2009-03-25,5
2009-03-27,6
2009-03-30,5
2009-04-02,2
2009-04-07,5
2009-04-09,2
2009-04-20,1
2009-04-29,2
2009-05-19,3
2009-06-26,2
2009-07-01,3
2009-07-02,5
2009-07-20,2
2009-07-21,3
2009-07-22,2
2009-07-23,3
2009-08-31,2
2009-09-15,3
2009-09-24,2
2009-10-01,3
2009-11-20,6
2009-12-04,3
2009-12-10,6
2009-12-14,3
2010-01-28,2
2010-02-01,3
2010-02-04,2
2010-02-16,3
2010-03-25,2
2010-03-29,3
2010-05-06,2
2010-05-14,1
2010-05-20,4
2010-05-25,1
2010-06-01,4
2010-06-02,1
2010-06-04,4
2010-06-08,7
2010-06-10,4
2010-06-29,7
2010-07-23,4
2010-08-02,5
2010-08-04,2
2010-08-06,5
2010-08-11,7
2010-08-17,4
2010-08-20,7
2010-09-02,4
2010-09-13,5
2010-09-16,4
2010-09-17,1
2010-09-20,2
2010-09-30,3
2011-05-03,6
2011-05-10,3
2011-05-11,6
2011-05-17,5
2011-05-19,6
