signal_date,gpi_fast20,gpi_mid63,gpi_acc,ipi_fast20,ipi_mid63,ipi_acc
2012-09-28,0.26203618,0.13974257,0.12229361,-0.89947116,-0.31984058,-0.57963058
2012-10-31,-0.29094971,-0.02555198,-0.26539773,-0.47692577,-0.45786919,-0.01905658
2012-11-30,0.22205224,-0.27157876,0.493631,0.14072347,-0.31849433,0.4592178
2012-12-31,0.50950148,0.18083056,0.32867092,0.21097492,-0.06934978,0.2803247
2013-01-31,-0.01794874,0.26048594,-0.27843468,-0.41243145,-0.09599988,-0.31643157
2013-02-28,0.16647451,0.27349247,-0.10701796,0.05991368,-0.25338795,0.31330163
2013-03-28,-0.46720146,-0.1021557,-0.36504576,-0.34887516,-0.36203053,0.01315537
2013-04-30,0.41253447,-0.00255594,0.41509041,0.08250362,-0.19952153,0.28202515
2013-05-31,0.22864172,0.36036105,-0.13171933,-0.46865672,-0.12768035,-0.34097637
2013-06-28,-0.32565711,-0.05623239,-0.26942472,-0.28131734,-0.28464328,0.00332594
2013-07-31,0.26107831,0.01416349,0.24691482,0.10149613,-0.06111127,0.1626074
2013-08-30,-0.37220748,-0.26766502,-0.10454246,-0.61015056,-0.53370036,-0.0764502
2013-09-30,0.64611856,0.11932177,0.52679679,0.50372937,-0.01322261,0.51695198
2013-10-31,0.14682526,0.22889065,-0.08206539,-0.09549885,0.23954249,-0.33504134
2013-11-29,0.11579833,0.21645806,-0.10065973,0.16306916,0.31593409,-0.15286493
2013-12-31,0.2279657,0.19474604,0.03321966,-0.10444671,0.20211457,-0.30656128
2014-01-31,-0.26865064,-0.03964286,-0.22900778,-0.75222058,-0.41369433,-0.33852625
2014-02-28,0.64275604,0.17801541,0.46474063,0.93125837,0.12151454,0.80974383
2014-03-31,-0.00978847,0.10119534,-0.11098381,0.06452943,0.18086791,-0.11633848
2014-04-30,-0.49736384,-0.26477995,-0.23258389,-0.46784242,-0.45609648,-0.01174594
2014-05-30,0.48483708,0.03507622,0.44976086,0.5584916,0.04591964,0.51257196
2014-06-30,-0.19710945,-0.04757195,-0.1495375,0.05183186,0.11533002,-0.06349816
2014-07-31,-0.68839368,-0.46736713,-0.22102655,-0.82441516,-0.49438716,-0.330028
2014-08-29,0.68495199,-0.00603126,0.69098325,0.6803898,0.14769642,0.53269338
2014-09-30,-0.49576646,-0.34964616,-0.1461203,-0.37591321,-0.31888991,-0.0570233
2014-10-31,0.60995179,0.15138142,0.45857037,0.55735375,0.10615426,0.45119949
2014-11-28,0.0089223,0.07301644,-0.06409414,-0.09429005,0.08619322,-0.18048327
2014-12-31,-0.54980135,-0.30205812,-0.24774323,-0.60477033,-0.37975272,-0.22501761
2015-01-30,0.20460251,-0.08094358,0.28554609,0.44755409,-0.07497413,0.52252822
2015-02-27,0.51900119,0.27492136,0.24407983,0.20872185,0.25272774,-0.04400589
2015-03-31,-0.41309599,-0.16892012,-0.24417587,-0.57444567,-0.30108683,-0.27335884
2015-04-30,-0.09786154,-0.07083441,-0.02702713,0.25956629,0.14518405,0.11438224
2015-05-29,-0.08726521,-0.14178816,0.05452295,-0.06690272,-0.0128731,-0.05402962
2015-06-30,-0.42192303,-0.23872097,-0.18320206,-0.67570241,-0.44188378,-0.23381863
2015-07-31,-0.2909569,-0.40760428,0.11664738,-0.34188851,-0.53062835,0.18873984
2015-08-31,-1.8726962,-1.12319686,-0.74949934,-1.3068492,-0.82899362,-0.47785558
2015-09-30,-0.31669865,-0.9056845,0.58898585,0.32507109,-0.4166485,0.74171959
2015-10-30,1.48439931,0.48691055,0.99748876,1.22736917,0.33540555,0.89196362
2015-11-30,-0.56069238,-0.19671101,-0.36398137,-0.41440118,-0.0359865,-0.37841468
2015-12-31,-0.48858176,-0.35389353,-0.13468823,-0.64684636,-0.45415931,-0.19268705
2016-01-29,-1.31038429,-0.97891822,-0.33146607,-1.37339549,-1.11889163,-0.25450386
